,Unnamed: 0,open,close,high,low,volume,money
0,2021-07-01,22.81,23.2,23.5,22.52,66483330.0,1530548798.57
1,2021-07-02,22.72,21.81,22.74,21.76,107067756.0,2360189793.98
2,2021-07-05,21.69,22.06,22.15,21.09,85934129.0,1859394323.75
3,2021-07-06,22.08,22.78,23.0,21.85,79195726.0,1784792785.57
4,2021-07-07,22.68,22.55,23.05,22.5,46894487.0,1063910095.83
5,2021-07-08,22.78,21.51,22.78,21.2,145705947.0,3140657439.76
6,2021-07-09,21.3,21.27,21.63,21.02,76236474.0,1625461607.71
7,2021-07-12,21.5,21.16,21.5,20.89,87790102.0,1859059510.48
8,2021-07-13,21.15,21.12,21.34,20.54,65761395.0,1382029130.11
9,2021-07-14,21.0,20.76,21.0,20.41,84795055.0,1755810875.16
10,2021-07-15,20.72,21.62,21.72,20.63,95600305.0,2040266258.59
11,2021-07-16,21.41,21.34,21.82,21.3,57300261.0,1230180813.02
12,2021-07-19,21.36,21.21,21.43,20.78,52213595.0,1098434741.86
13,2021-07-20,21.1,20.6,21.2,20.47,80403433.0,1665315545.53
14,2021-07-20,21.1,20.6,21.2,20.47,80403433.0,1665315545.53
15,2021-07-21,20.58,20.45,20.8,20.2,75307652.0,1535327561.83
16,2021-07-22,20.45,20.38,20.66,20.24,86864809.0,1773999331.02
17,2021-07-23,20.38,20.1,20.38,20.0,72740433.0,1461467511.79
18,2021-07-26,19.96,18.8,19.99,18.43,145130394.0,2770236696.29
19,2021-07-27,18.87,17.76,18.99,17.6,135755148.0,2461708369.84
20,2021-07-28,17.85,17.75,18.07,17.68,106299421.0,1898562591.76
21,2021-07-29,17.91,17.96,18.24,17.78,87237812.0,1566107824.4
22,2021-07-30,17.92,17.69,18.05,17.24,95015588.0,1679747318.28
